tag,katz_centrality
#News,0.18735481377814903
#Unreal Engine,0.17194667851280873
#Blender,0.17076202773941715
#Interviews,0.1684494812674992
#Substance 3D Painter,0.16756137866576493
#Marmoset Toolbag,0.16755682711425393
#ZBrush,0.16608980492810752
#Photoshop,0.16476814426858022
#Props,0.16468636695237268
#Environment Art,0.16310418802587537
#Maya,0.16173036462138726
#Character Art,0.16006010350203323
#3D Art,0.15818990450230813
#Marvelous Designer,0.15553010502699896
#Animation,0.1545457976289913
#Marketplace,0.15286475614698702
#Substance 3D Designer,0.15248716897879672
#RizomUV,0.15246359682345606
#Tutorial,0.1517874624292816
#Video Games,0.14975518651119446
#SpeedTree,0.1493519128338965
#Game Development,0.1482846783985239
#Stylized Art,0.14768134559230428
#Arnold,0.14733747953672405
#IndieDev,0.14681385215373494
